ID,ComID,Geogname,Year,Datagroup,Diseases of the Circulatory System,Diseases of the Digestive System,Diseases of the Genitourinary System,Diseases of the Musculoskeletal System,Diseases of the Respiratory System,"Endocrine, Nutritional, and Metabolic",Infectious and Parasitic Diseases,Injury and Poisoning,Mental Disorders,Neoplasms,Total,Circulatory System: Heart Disease,Circulatory System: Major cerebrovascular diseas,Digestive System: esophagus,Digestive System: gall bladder,Digestive System: intestine & peritoneum,Genitourinary System: female genital organs,Genitourinary System: male genital organs,Genitourinary System: urinary system,Respiratory System: asthma,Respiratory System: COPD,Respiratory System: Pneumonia,Neoplasms: Malignant neoplasms,Sub Total,Males,Females,Both Genders
80,cnt1214,Antigonish County,1998,All Ages,358,298,123,114,327,24,39,160,112,131,1686,14,10,13,17,17,10,4,17,3,15,19,15,154,170,155,325
81,cnt1214,Antigonish County,1999,00-19,1,30,12,10,65,5,9,28,10,5,175,0,1,3,2,3,1,1,5,0,4,4,1,25,30,32,62
82,cnt1214,Antigonish County,1999,20-39,7,51,19,13,13,4,7,31,36,9,190,4,0,4,4,4,3,0,3,0,0,3,4,29,40,29,69
83,cnt1214,Antigonish County,1999,40-59,84,91,51,28,49,8,7,44,37,43,442,6,3,5,5,6,3,2,6,1,5,5,6,53,51,47,98
84,cnt1214,Antigonish County,1999,60 plus,232,121,49,53,156,20,21,80,40,93,865,6,6,6,6,6,3,3,5,0,6,6,6,59,53,55,108
85,cnt1214,Antigonish County,1999,All Ages,324,293,131,104,283,37,44,183,123,150,1672,16,10,18,17,19,10,6,19,1,15,18,17,166,174,163,337
86,cnt1214,Antigonish County,2000,00-19,1,32,4,11,64,2,7,28,9,3,161,1,0,2,3,2,0,1,2,0,5,6,1,23,26,30,56
87,cnt1214,Antigonish County,2000,20-39,8,63,29,24,6,5,5,38,41,6,225,2,0,3,4,4,3,1,4,0,0,4,1,26,35,29,64
88,cnt1214,Antigonish County,2000,40-59,69,98,36,28,29,8,4,40,34,42,388,6,3,5,5,4,3,1,5,0,4,6,6,48,49,44,93
89,cnt1214,Antigonish County,2000,60 plus,239,113,38,62,169,18,16,80,34,85,854,6,6,6,5,6,3,3,6,0,6,6,6,59,55,53,108
90,cnt1214,Antigonish County,2000,All Ages,317,306,107,125,268,33,32,186,118,136,1628,15,9,16,17,16,9,6,17,0,15,22,14,156,165,156,321
91,cnt1217,Cape Breton County,1995,00-19,14,259,47,47,537,42,96,183,132,32,1389,2,0,3,2,2,1,1,4,1,2,6,2,26,32,30,62
92,cnt1217,Cape Breton County,1995,20-39,86,392,185,103,208,42,31,233,367,73,1720,2,2,2,5,3,3,1,4,1,1,5,2,31,39,31,70
93,cnt1217,Cape Breton County,1995,40-59,590,646,249,205,226,85,21,257,321,312,2912,4,4,4,5,4,2,1,2,2,4,4,4,40,38,38,76
94,cnt1217,Cape Breton County,1995,60 plus,1998,989,380,408,694,187,58,471,169,762,6116,6,4,3,2,2,2,2,3,2,4,4,3,37,32,35,67
95,cnt1217,Cape Breton County,1995,All Ages,2688,2286,861,763,1665,356,206,1144,989,1179,12137,14,10,12,14,11,8,5,13,6,11,19,11,134,141,134,275
96,cnt1217,Cape Breton County,1996,00-19,13,232,70,53,469,51,88,202,172,22,1372,3,0,3,4,2,2,1,3,0,2,5,2,27,27,36,63
97,cnt1217,Cape Breton County,1996,20-39,90,345,155,95,166,37,27,163,505,90,1673,3,1,4,5,2,2,1,2,2,2,2,3,29,35,33,68
98,cnt1217,Cape Breton County,1996,40-59,618,580,233,177,221,84,23,193,370,323,2822,4,4,3,4,5,2,1,2,2,2,3,3,35,39,35,74
99,cnt1217,Cape Breton County,1996,60 plus,1953,815,393,388,700,170,51,408,186,729,5793,6,3,2,2,2,1,1,2,2,3,3,4,31,27,28,55
100,cnt1217,Cape Breton County,1996,All Ages,2674,1972,851,713,1556,342,189,966,1233,1164,11660,16,8,12,15,11,7,4,9,6,9,13,12,122,128,132,260
101,cnt1217,Cape Breton County,1997,00-19,17,205,95,47,425,57,110,160,202,13,1331,3,0,4,2,3,1,1,4,1,3,5,3,30,30,37,67
102,cnt1217,Cape Breton County,1997,20-39,63,337,138,81,119,33,16,165,429,82,1463,2,2,3,6,3,2,1,3,1,2,3,4,32,36,35,71
103,cnt1217,Cape Breton County,1997,40-59,674,522,264,152,236,85,22,204,390,278,2827,5,3,3,4,4,3,2,2,2,4,5,3,40,39,32,71
104,cnt1217,Cape Breton County,1997,60 plus,2005,786,450,326,807,181,71,442,166,633,5867,5,5,3,2,3,1,3,2,2,3,4,4,37,29,34,63
105,cnt1217,Cape Breton County,1997,All Ages,2759,1850,947,606,1587,356,219,971,1187,1006,11488,15,10,13,14,13,7,7,11,6,12,17,14,139,134,138,272
106,cnt1217,Cape Breton County,1998,00-19,29,146,64,46,433,55,82,153,104,20,1132,3,1,3,2,3,2,1,4,1,2,4,4,30,32,36,68
107,cnt1217,Cape Breton County,1998,20-39,74,316,160,75,115,35,12,145,383,60,1375,4,2,3,4,2,2,1,4,1,2,3,2,30,34,34,68
108,cnt1217,Cape Breton County,1998,40-59,623,528,251,179,197,85,34,177,297,326,2697,6,3,3,4,5,2,1,4,2,3,3,4,40,40,34,74
109,cnt1217,Cape Breton County,1998,60 plus,1897,770,389,379,677,178,82,484,163,699,5718,5,3,3,2,3,2,1,3,1,4,3,3,33,31,30,61
110,cnt1217,Cape Breton County,1998,All Ages,2623,1760,864,679,1422,353,210,959,947,1105,10922,18,9,12,12,13,8,4,15,5,11,13,13,133,137,134,271
111,cnt1217,Cape Breton County,1999,00-19,22,130,50,34,411,72,84,138,89,14,1044,3,2,2,2,3,1,1,5,1,2,5,1,28,35,30,65
112,cnt1217,Cape Breton County,1999,20-39,59,294,123,61,121,30,18,144,323,59,1232,4,1,3,4,3,2,1,3,1,1,4,3,30,34,29,63
113,cnt1217,Cape Breton County,1999,40-59,555,504,249,145,163,81,19,187,298,309,2510,6,2,3,5,3,3,1,3,1,3,5,5,40,44,35,79
114,cnt1217,Cape Breton County,1999,60 plus,1886,704,389,371,714,167,64,418,166,675,5554,6,3,3,4,3,1,1,3,1,4,4,4,37,33,28,61
115,cnt1217,Cape Breton County,1999,All Ages,2522,1632,811,611,1409,350,185,887,876,1057,10340,19,8,11,15,12,7,4,14,4,10,18,13,135,146,122,268
116,cnt1217,Cape Breton County,2000,00-19,16,151,39,38,322,50,52,117,77,13,875,3,3,3,3,3,1,1,4,1,1,6,3,32,34,34,68
117,cnt1217,Cape Breton County,2000,20-39,34,260,111,50,108,30,9,131,323,44,1100,4,2,3,5,2,3,0,3,0,2,4,4,32,36,32,68
118,cnt1217,Cape Breton County,2000,40-59,542,498,212,198,196,80,20,211,284,253,2494,5,3,4,5,4,3,1,3,2,2,3,3,38,38,37,75
119,cnt1217,Cape Breton County,2000,60 plus,1767,672,347,341,590,174,69,414,155,591,5120,5,3,3,3,3,1,2,3,2,4,4,4,37,35,34,69
120,cnt1217,Cape Breton County,2000,All Ages,2359,1581,709,627,1216,334,150,873,839,901,9589,17,11,13,16,12,8,4,13,5,9,17,14,139,143,137,280
121,cnt1210,Colchester County,1995,00-19,3,74,23,16,266,23,32,80,22,4,543,0,0,2,3,3,3,3,5,2,4,10,1,36,55,49,104
122,cnt1210,Colchester County,1995,20-39,25,137,104,43,39,28,13,68,112,24,593,6,2,6,6,6,5,0,8,1,0,4,6,50,70,50,120
123,cnt1210,Colchester County,1995,40-59,184,196,115,58,50,28,9,78,67,85,870,12,7,7,11,8,6,4,8,0,5,7,10,85,87,71,158
124,cnt1210,Colchester County,1995,60 plus,611,293,163,126,219,35,33,202,61,247,1990,12,9,8,10,8,5,5,11,3,9,9,10,99,95,85,180
125,cnt1210,Colchester County,1995,All Ages,823,700,405,243,574,114,87,428,262,360,3996,30,18,23,30,25,19,12,32,6,18,30,27,270,307,255,562
126,cnt1210,Colchester County,1996,00-19,6,79,26,16,182,16,30,77,29,3,464,2,0,4,3,4,3,4,5,2,3,8,2,40,52,55,107
127,cnt1210,Colchester County,1996,20-39,14,124,111,39,44,19,5,93,150,31,630,6,0,5,7,7,5,1,6,0,1,7,6,51,64,50,114
128,cnt1210,Colchester County,1996,40-59,160,182,109,83,60,22,11,76,80,117,900,12,9,6,11,7,4,3,8,1,3,10,9,83,86,74,160
129,cnt1210,Colchester County,1996,60 plus,650,250,150,116,269,45,28,178,49,193,1928,11,10,8,10,9,4,5,8,6,10,10,10,101,88,98,186
130,cnt1210,Colchester County,1996,All Ages,830,635,396,254,555,102,74,424,308,344,3922,31,19,23,31,27,16,13,27,9,17,35,27,275,290,277,567
131,cnt1210,Colchester County,1997,00-19,10,49,13,15,189,13,31,66,17,7,410,5,1,4,2,2,2,0,5,0,3,7,3,34,53,46,99
132,cnt1210,Colchester County,1997,20-39,37,146,76,32,34,17,7,74,134,41,598,9,1,5,11,5,5,1,7,0,1,3,5,53,65,55,120
133,cnt1210,Colchester County,1997,40-59,202,149,92,59,37,27,9,73,94,84,826,12,5,7,9,6,6,3,8,2,5,4,9,76,82,67,149
134,cnt1210,Colchester County,1997,60 plus,636,271,155,117,254,57,21,185,71,228,1995,12,10,8,10,10,4,5,9,4,9,10,10,101,92,90,182
135,cnt1210,Colchester County,1997,All Ages,885,615,336,223,514,114,68,398,316,360,3829,38,17,24,32,23,17,9,29,6,18,24,27,264,292,258,550
136,cnt1210,Colchester County,1998,00-19,9,75,26,21,165,15,31,70,21,5,438,3,1,4,3,4,2,0,8,0,1,6,1,33,53,49,102
137,cnt1210,Colchester County,1998,20-39,20,132,83,27,31,11,10,81,105,25,525,5,3,3,9,4,5,1,6,0,0,3,6,45,64,53,117
138,cnt1210,Colchester County,1998,40-59,239,189,131,66,49,19,5,76,65,120,959,11,7,4,10,6,5,5,10,1,4,6,10,79,77,76,153
139,cnt1210,Colchester County,1998,60 plus,629,292,161,125,271,37,20,168,46,202,1951,11,10,9,10,9,4,5,9,0,10,9,11,97,93,89,182
140,cnt1210,Colchester County,1998,All Ages,897,688,401,239,516,82,66,395,237,352,3873,30,21,20,32,23,16,11,33,1,15,24,28,254,287,267,554
141,cnt1210,Colchester County,1999,00-19,2,39,29,18,150,19,25,76,23,5,386,1,0,3,4,3,2,2,7,2,1,5,1,31,47,45,92
142,cnt1210,Colchester County,1999,20-39,29,165,91,48,37,6,10,81,84,24,575,6,1,2,10,7,5,1,10,0,0,8,6,56,65,52,117
143,cnt1210,Colchester County,1999,40-59,202,149,121,63,66,19,8,76,73,103,880,12,5,5,10,10,5,2,9,2,6,10,9,85,81,82,163
144,cnt1210,Colchester County,1999,60 plus,593,233,172,129,286,51,19,191,40,216,1930,12,11,6,9,10,5,6,11,0,11,11,9,101,94,91,185
145,cnt1210,Colchester County,1999,All Ages,826,586,413,258,539,95,62,424,220,348,3771,31,17,16,33,30,17,11,37,4,18,34,25,273,287,270,557
146,cnt1210,Colchester County,2000,00-19,7,67,18,15,127,20,32,74,14,3,377,3,2,2,4,3,3,1,7,0,1,7,2,35,51,48,99
147,cnt1210,Colchester County,2000,20-39,18,104,75,27,29,13,7,73,56,26,428,5,1,4,9,3,6,2,7,0,1,3,4,45,60,46,106
148,cnt1210,Colchester County,2000,40-59,188,224,111,59,60,17,12,97,62,91,921,11,5,6,12,8,6,2,9,1,8,8,8,84,83,74,157
149,cnt1210,Colchester County,2000,60 plus,632,300,139,110,251,56,24,191,38,176,1917,12,11,7,10,10,5,5,10,0,10,12,11,103,92,90,182
150,cnt1210,Colchester County,2000,All Ages,845,695,343,211,467,106,75,435,170,296,3643,31,19,19,35,24,20,10,33,1,20,30,25,267,286,258,544
151,cnt1211,Cumberland County,1995,00-19,7,66,16,15,174,5,27,61,21,4,396,5,1,5,2,2,3,0,5,1,3,9,1,37,61,52,113
152,cnt1211,Cumberland County,1995,20-39,28,124,77,35,31,16,8,68,77,23,487,11,1,7,7,8,7,2,7,0,1,6,7,64,87,59,146
153,cnt1211,Cumberland County,1995,40-59,187,162,75,50,74,25,6,76,68,72,795,14,6,8,13,9,6,3,9,0,9,11,11,99,106,94,200
154,cnt1211,Cumberland County,1995,60 plus,671,309,151,131,349,92,34,204,65,244,2250,14,13,14,13,14,7,7,14,2,14,14,14,140,126,126,252
155,cnt1211,Cumberland County,1995,All Ages,893,661,319,231,628,138,75,409,231,343,3928,44,21,34,35,33,23,12,35,3,27,40,33,340,380,331,711
156,cnt1211,Cumberland County,1996,00-19,10,57,17,15,164,14,14,53,27,9,380,5,1,4,3,2,3,1,6,0,0,11,2,38,62,58,120
157,cnt1211,Cumberland County,1996,20-39,33,135,43,36,50,16,7,64,71,26,481,9,0,4,9,10,7,0,6,1,3,6,10,65,85,64,149
158,cnt1211,Cumberland County,1996,40-59,167,174,77,57,67,29,8,51,92,66,788,14,11,10,11,11,7,4,10,1,5,10,13,107,111,99,210
159,cnt1211,Cumberland County,1996,60 plus,671,361,121,126,431,92,17,162,59,272,2312,14,14,14,13,13,7,7,14,2,14,14,14,140,129,124,253
160,cnt1211,Cumberland County,1996,All Ages,881,727,258,234,712,151,46,330,249,373,3961,42,26,32,36,36,24,12,36,4,22,41,39,350,387,345,732
161,cnt1211,Cumberland County,1997,00-19,4,75,14,15,137,9,15,55,37,8,369,3,0,5,3,4,2,1,5,0,7,9,2,41,56,54,110
162,cnt1211,Cumberland County,1997,20-39,23,118,50,44,35,18,10,67,76,12,453,7,1,4,8,9,6,1,11,0,2,5,3,57,78,63,141
163,cnt1211,Cumberland County,1997,40-59,167,155,45,58,73,16,12,66,62,61,715,13,2,8,13,12,6,2,10,1,11,10,12,100,96,97,193
164,cnt1211,Cumberland County,1997,60 plus,693,301,119,131,356,110,29,119,67,243,2168,14,14,14,14,14,5,7,14,0,14,14,14,138,131,122,253
165,cnt1211,Cumberland County,1997,All Ages,887,649,228,248,601,153,66,307,242,324,3705,37,17,31,38,39,19,11,40,1,34,38,31,336,361,336,697
166,cnt1211,Cumberland County,1998,00-19,4,76,14,12,119,10,23,40,25,8,331,2,1,5,4,3,1,2,5,0,2,8,3,36,50,55,105
167,cnt1211,Cumberland County,1998,20-39,20,117,54,20,35,14,10,84,99,9,462,9,0,5,11,8,7,0,9,0,3,7,3,62,77,60,137
168,cnt1211,Cumberland County,1998,40-59,142,142,48,44,48,19,6,52,69,77,647,13,6,11,12,9,6,1,10,0,7,11,11,97,99,87,186
169,cnt1211,Cumberland County,1998,60 plus,568,296,109,118,429,71,30,128,69,212,2030,14,13,14,12,14,5,7,14,1,14,14,14,136,122,123,245
